unit,sex,age,region,year,value
YR,F,Y78,PT,2020,11.0
YR,F,Y79,PT,2020,10.3
YR,F,Y8,PT,2020,76.4
YR,F,Y80,PT,2020,9.6
YR,F,Y81,PT,2020,8.9
YR,F,Y82,PT,2020,8.3
YR,F,Y83,PT,2020,7.7
YR,F,Y84,PT,2020,7.2
YR,F,Y9,PT,2020,75.4
YR,F,Y_GE85,PT,2020,6.6
YR,F,Y_LT1,PT,2020,84.1
YR,M,Y1,PT,2020,77.2
YR,M,Y10,PT,2020,68.3
YR,M,Y11,PT,2020,67.3
YR,M,Y12,PT,2020,66.3
YR,M,Y13,PT,2020,65.3
YR,M,Y14,PT,2020,64.3
YR,M,Y15,PT,2020,63.3
YR,M,Y16,PT,2020,62.3
YR,M,Y17,PT,2020,61.3
YR,M,Y18,PT,2020,60.3
YR,M,Y19,PT,2020,59.3
YR,M,Y2,PT,2020,76.2
YR,M,Y20,PT,2020,58.4
YR,M,Y21,PT,2020,57.4
YR,M,Y22,PT,2020,56.4
YR,M,Y23,PT,2020,55.5
YR,M,Y24,PT,2020,54.5
YR,M,Y25,PT,2020,53.5
YR,M,Y26,PT,2020,52.5
YR,M,Y27,PT,2020,51.6
YR,M,Y28,PT,2020,50.6
YR,M,Y29,PT,2020,49.7
YR,M,Y3,PT,2020,75.2
YR,M,Y30,PT,2020,48.7
YR,M,Y31,PT,2020,47.7
YR,M,Y32,PT,2020,46.7
YR,M,Y33,PT,2020,45.8
YR,M,Y34,PT,2020,44.8
YR,M,Y35,PT,2020,43.9
YR,M,Y36,PT,2020,42.9
YR,M,Y37,PT,2020,41.9
YR,M,Y38,PT,2020,41.0
YR,M,Y39,PT,2020,40.0
YR,M,Y4,PT,2020,74.2
YR,M,Y40,PT,2020,39.1
YR,M,Y41,PT,2020,38.1
YR,M,Y42,PT,2020,37.2
YR,M,Y43,PT,2020,36.3
YR,M,Y44,PT,2020,35.3
YR,M,Y45,PT,2020,34.4
YR,M,Y46,PT,2020,33.5
YR,M,Y47,PT,2020,32.6
YR,M,Y48,PT,2020,31.7
YR,M,Y49,PT,2020,30.8
YR,M,Y5,PT,2020,73.2
YR,M,Y50,PT,2020,29.9
YR,M,Y51,PT,2020,29.0
YR,M,Y52,PT,2020,28.1
YR,M,Y53,PT,2020,27.3
YR,M,Y54,PT,2020,26.5
YR,M,Y55,PT,2020,25.6
YR,M,Y56,PT,2020,24.8
YR,M,Y57,PT,2020,24.0
YR,M,Y58,PT,2020,23.2
YR,M,Y59,PT,2020,22.4
YR,M,Y6,PT,2020,72.2
YR,M,Y60,PT,2020,21.6
YR,M,Y61,PT,2020,20.8
YR,M,Y62,PT,2020,20.1
YR,M,Y63,PT,2020,19.3
YR,M,Y64,PT,2020,18.6
YR,M,Y65,PT,2020,17.8
YR,M,Y66,PT,2020,17.1
YR,M,Y67,PT,2020,16.4
YR,M,Y68,PT,2020,15.7
YR,M,Y69,PT,2020,14.9
YR,M,Y7,PT,2020,71.2
YR,M,Y70,PT,2020,14.2
YR,M,Y71,PT,2020,13.5
YR,M,Y72,PT,2020,12.8
YR,M,Y73,PT,2020,12.2
YR,M,Y74,PT,2020,11.5
YR,M,Y75,PT,2020,10.9
YR,M,Y76,PT,2020,10.2
YR,M,Y77,PT,2020,9.6
YR,M,Y78,PT,2020,9.0
YR,M,Y79,PT,2020,8.4
YR,M,Y8,PT,2020,70.2
YR,M,Y80,PT,2020,7.9
YR,M,Y81,PT,2020,7.3
YR,M,Y82,PT,2020,6.8
YR,M,Y83,PT,2020,6.3
YR,M,Y84,PT,2020,5.8
YR,M,Y9,PT,2020,69.3
YR,M,Y_GE85,PT,2020,5.4
YR,M,Y_LT1,PT,2020,78.0
YR,T,Y1,PT,2020,80.3
YR,T,Y10,PT,2020,71.4
YR,T,Y11,PT,2020,70.4
YR,T,Y12,PT,2020,69.4
YR,T,Y13,PT,2020,68.4
YR,T,Y14,PT,2020,67.4
YR,T,Y15,PT,2020,66.4
YR,T,Y16,PT,2020,65.4
YR,T,Y17,PT,2020,64.5
YR,T,Y18,PT,2020,63.5
YR,T,Y19,PT,2020,62.5
YR,T,Y2,PT,2020,79.3
YR,T,Y20,PT,2020,61.5
YR,T,Y21,PT,2020,60.5
YR,T,Y22,PT,2020,59.5
YR,T,Y23,PT,2020,58.6
YR,T,Y24,PT,2020,57.6
YR,T,Y25,PT,2020,56.6
YR,T,Y26,PT,2020,55.6
YR,T,Y27,PT,2020,54.7
YR,T,Y28,PT,2020,53.7
YR,T,Y29,PT,2020,52.7
YR,T,Y3,PT,2020,78.4
YR,T,Y30,PT,2020,51.7
YR,T,Y31,PT,2020,50.7
YR,T,Y32,PT,2020,49.8
YR,T,Y33,PT,2020,48.8
YR,T,Y34,PT,2020,47.8
YR,T,Y35,PT,2020,46.9
YR,T,Y36,PT,2020,45.9
YR,T,Y37,PT,2020,44.9
YR,T,Y38,PT,2020,44.0
YR,T,Y39,PT,2020,43.0
YR,T,Y4,PT,2020,77.4
YR,T,Y40,PT,2020,42.0
YR,T,Y41,PT,2020,41.1
YR,T,Y42,PT,2020,40.1
YR,T,Y43,PT,2020,39.2
YR,T,Y44,PT,2020,38.2
YR,T,Y45,PT,2020,37.3
YR,T,Y46,PT,2020,36.4
YR,T,Y47,PT,2020,35.4
YR,T,Y48,PT,2020,34.5
YR,T,Y49,PT,2020,33.6
YR,T,Y5,PT,2020,76.4
YR,T,Y50,PT,2020,32.7
YR,T,Y51,PT,2020,31.8
YR,T,Y52,PT,2020,30.9
YR,T,Y53,PT,2020,30.0
YR,T,Y54,PT,2020,29.1
YR,T,Y55,PT,2020,28.2
YR,T,Y56,PT,2020,27.4
YR,T,Y57,PT,2020,26.5
YR,T,Y58,PT,2020,25.6
YR,T,Y59,PT,2020,24.8
YR,T,Y6,PT,2020,75.4
YR,T,Y60,PT,2020,23.9
YR,T,Y61,PT,2020,23.1
YR,T,Y62,PT,2020,22.3
YR,T,Y63,PT,2020,21.5
YR,T,Y64,PT,2020,20.6
YR,T,Y65,PT,2020,19.8
YR,T,Y66,PT,2020,19.0
YR,T,Y67,PT,2020,18.3
YR,T,Y68,PT,2020,17.5
YR,T,Y69,PT,2020,16.7
YR,T,Y7,PT,2020,74.4
YR,T,Y70,PT,2020,15.9
YR,T,Y71,PT,2020,15.1
YR,T,Y72,PT,2020,14.4
YR,T,Y73,PT,2020,13.6
YR,T,Y74,PT,2020,12.9
YR,T,Y75,PT,2020,12.2
YR,T,Y76,PT,2020,11.5
YR,T,Y77,PT,2020,10.8
YR,T,Y78,PT,2020,10.2
YR,T,Y79,PT,2020,9.5
YR,T,Y8,PT,2020,73.4
YR,T,Y80,PT,2020,8.9
YR,T,Y81,PT,2020,8.3
YR,T,Y82,PT,2020,7.7
YR,T,Y83,PT,2020,7.2
YR,T,Y84,PT,2020,6.7
YR,T,Y9,PT,2020,72.4
YR,T,Y_GE85,PT,2020,6.2
YR,T,Y_LT1,PT,2020,81.1
YR,F,Y1,PT,2019,84.0
YR,F,Y10,PT,2019,75.1
YR,F,Y11,PT,2019,74.1
YR,F,Y12,PT,2019,73.1
YR,F,Y13,PT,2019,72.1
YR,F,Y14,PT,2019,71.1
YR,F,Y15,PT,2019,70.1
YR,F,Y16,PT,2019,69.1
YR,F,Y17,PT,2019,68.1
YR,F,Y18,PT,2019,67.2
YR,F,Y19,PT,2019,66.2
YR,F,Y2,PT,2019,83.0
YR,F,Y20,PT,2019,65.2
YR,F,Y21,PT,2019,64.2
YR,F,Y22,PT,2019,63.2
YR,F,Y23,PT,2019,62.2
YR,F,Y24,PT,2019,61.2
YR,F,Y25,PT,2019,60.2
YR,F,Y26,PT,2019,59.3
YR,F,Y27,PT,2019,58.3
YR,F,Y28,PT,2019,57.3
YR,F,Y29,PT,2019,56.3
YR,F,Y3,PT,2019,82.1
YR,F,Y30,PT,2019,55.3
YR,F,Y31,PT,2019,54.3
YR,F,Y32,PT,2019,53.3
YR,F,Y33,PT,2019,52.4
YR,F,Y34,PT,2019,51.4
YR,F,Y35,PT,2019,50.4
YR,F,Y36,PT,2019,49.4
YR,F,Y37,PT,2019,48.5
YR,F,Y38,PT,2019,47.5
YR,F,Y39,PT,2019,46.5
YR,F,Y4,PT,2019,81.1
YR,F,Y40,PT,2019,45.5
YR,F,Y41,PT,2019,44.6
YR,F,Y42,PT,2019,43.6
YR,F,Y43,PT,2019,42.6
YR,F,Y44,PT,2019,41.7
YR,F,Y45,PT,2019,40.7
YR,F,Y46,PT,2019,39.8
YR,F,Y47,PT,2019,38.8
YR,F,Y48,PT,2019,37.9
YR,F,Y49,PT,2019,36.9
YR,F,Y5,PT,2019,80.1
YR,F,Y50,PT,2019,36.0
YR,F,Y51,PT,2019,35.0
YR,F,Y52,PT,2019,34.1
YR,F,Y53,PT,2019,33.2
YR,F,Y54,PT,2019,32.2
YR,F,Y55,PT,2019,31.3
YR,F,Y56,PT,2019,30.4
YR,F,Y57,PT,2019,29.5
YR,F,Y58,PT,2019,28.6
YR,F,Y59,PT,2019,27.7
YR,F,Y6,PT,2019,79.1
YR,F,Y60,PT,2019,26.8
YR,F,Y61,PT,2019,25.9
YR,F,Y62,PT,2019,25.0
YR,F,Y63,PT,2019,24.1
YR,F,Y64,PT,2019,23.2
YR,F,Y65,PT,2019,22.3
YR,F,Y66,PT,2019,21.5
YR,F,Y67,PT,2019,20.6
YR,F,Y68,PT,2019,19.7
YR,F,Y69,PT,2019,18.8
YR,F,Y7,PT,2019,78.1
YR,F,Y70,PT,2019,18.0
YR,F,Y71,PT,2019,17.2
YR,F,Y72,PT,2019,16.3
YR,F,Y73,PT,2019,15.5
YR,F,Y74,PT,2019,14.7
YR,F,Y75,PT,2019,13.9
YR,F,Y76,PT,2019,13.1
YR,F,Y77,PT,2019,12.4
YR,F,Y78,PT,2019,11.7
YR,F,Y79,PT,2019,10.9
YR,F,Y8,PT,2019,77.1
YR,F,Y80,PT,2019,10.2
YR,F,Y81,PT,2019,9.6
YR,F,Y82,PT,2019,9.0
YR,F,Y83,PT,2019,8.3
YR,F,Y84,PT,2019,7.8
YR,F,Y9,PT,2019,76.1
YR,F,Y_GE85,PT,2019,7.2
YR,F,Y_LT1,PT,2019,84.8
YR,M,Y1,PT,2019,78.0
YR,M,Y10,PT,2019,69.1
YR,M,Y11,PT,2019,68.1
YR,M,Y12,PT,2019,67.1
YR,M,Y13,PT,2019,66.1
YR,M,Y14,PT,2019,65.1
YR,M,Y15,PT,2019,64.1
YR,M,Y16,PT,2019,63.1
YR,M,Y17,PT,2019,62.1
YR,M,Y18,PT,2019,61.1
YR,M,Y19,PT,2019,60.2
YR,M,Y2,PT,2019,77.0
YR,M,Y20,PT,2019,59.2
YR,M,Y21,PT,2019,58.2
YR,M,Y22,PT,2019,57.2
YR,M,Y23,PT,2019,56.3
YR,M,Y24,PT,2019,55.3
YR,M,Y25,PT,2019,54.3
YR,M,Y26,PT,2019,53.3
YR,M,Y27,PT,2019,52.4
YR,M,Y28,PT,2019,51.4
YR,M,Y29,PT,2019,50.4
YR,M,Y3,PT,2019,76.0
YR,M,Y30,PT,2019,49.5
YR,M,Y31,PT,2019,48.5
YR,M,Y32,PT,2019,47.5
YR,M,Y33,PT,2019,46.6
YR,M,Y34,PT,2019,45.6
YR,M,Y35,PT,2019,44.6
YR,M,Y36,PT,2019,43.7
YR,M,Y37,PT,2019,42.7
YR,M,Y38,PT,2019,41.8
YR,M,Y39,PT,2019,40.8
YR,M,Y4,PT,2019,75.0
YR,M,Y40,PT,2019,39.8
YR,M,Y41,PT,2019,38.9
YR,M,Y42,PT,2019,38.0
YR,M,Y43,PT,2019,37.0
YR,M,Y44,PT,2019,36.1
YR,M,Y45,PT,2019,35.1
YR,M,Y46,PT,2019,34.2
YR,M,Y47,PT,2019,33.3
YR,M,Y48,PT,2019,32.4
YR,M,Y49,PT,2019,31.5
YR,M,Y5,PT,2019,74.0
YR,M,Y50,PT,2019,30.6
YR,M,Y51,PT,2019,29.7
YR,M,Y52,PT,2019,28.9
YR,M,Y53,PT,2019,28.0
YR,M,Y54,PT,2019,27.2
YR,M,Y55,PT,2019,26.3
YR,M,Y56,PT,2019,25.5
YR,M,Y57,PT,2019,24.7
YR,M,Y58,PT,2019,23.9
YR,M,Y59,PT,2019,23.0
YR,M,Y6,PT,2019,73.0
YR,M,Y60,PT,2019,22.2
YR,M,Y61,PT,2019,21.5
YR,M,Y62,PT,2019,20.7
YR,M,Y63,PT,2019,19.9
YR,M,Y64,PT,2019,19.2
YR,M,Y65,PT,2019,18.5
YR,M,Y66,PT,2019,17.7
YR,M,Y67,PT,2019,17.0
YR,M,Y68,PT,2019,16.3
YR,M,Y69,PT,2019,15.5
YR,M,Y7,PT,2019,72.0
YR,M,Y70,PT,2019,14.8
YR,M,Y71,PT,2019,14.1
YR,M,Y72,PT,2019,13.4
YR,M,Y73,PT,2019,12.7
YR,M,Y74,PT,2019,12.1
YR,M,Y75,PT,2019,11.4
YR,M,Y76,PT,2019,10.8
YR,M,Y77,PT,2019,10.2
YR,M,Y78,PT,2019,9.5
YR,M,Y79,PT,2019,8.9
YR,M,Y8,PT,2019,71.0
YR,M,Y80,PT,2019,8.4
YR,M,Y81,PT,2019,7.8
YR,M,Y82,PT,2019,7.3
YR,M,Y83,PT,2019,6.8
YR,M,Y84,PT,2019,6.3
YR,M,Y9,PT,2019,70.1
YR,M,Y_GE85,PT,2019,5.9
YR,M,Y_LT1,PT,2019,78.7
YR,T,Y1,PT,2019,81.1
YR,T,Y10,PT,2019,72.2
YR,T,Y11,PT,2019,71.2
YR,T,Y12,PT,2019,70.2
YR,T,Y13,PT,2019,69.2
YR,T,Y14,PT,2019,68.2
YR,T,Y15,PT,2019,67.2
YR,T,Y16,PT,2019,66.2
YR,T,Y17,PT,2019,65.2
YR,T,Y18,PT,2019,64.3
YR,T,Y19,PT,2019,63.3
YR,T,Y2,PT,2019,80.1
YR,T,Y20,PT,2019,62.3
YR,T,Y21,PT,2019,61.3
YR,T,Y22,PT,2019,60.3
YR,T,Y23,PT,2019,59.3
YR,T,Y24,PT,2019,58.4
YR,T,Y25,PT,2019,57.4
YR,T,Y26,PT,2019,56.4
YR,T,Y27,PT,2019,55.4
YR,T,Y28,PT,2019,54.5
YR,T,Y29,PT,2019,53.5
YR,T,Y3,PT,2019,79.1
YR,T,Y30,PT,2019,52.5
YR,T,Y31,PT,2019,51.5
YR,T,Y32,PT,2019,50.6
YR,T,Y33,PT,2019,49.6
YR,T,Y34,PT,2019,48.6
YR,T,Y35,PT,2019,47.6
YR,T,Y36,PT,2019,46.7
YR,T,Y37,PT,2019,45.7
YR,T,Y38,PT,2019,44.7
YR,T,Y39,PT,2019,43.8
YR,T,Y4,PT,2019,78.2
YR,T,Y40,PT,2019,42.8
YR,T,Y41,PT,2019,41.9
YR,T,Y42,PT,2019,40.9
YR,T,Y43,PT,2019,39.9
YR,T,Y44,PT,2019,39.0
YR,T,Y45,PT,2019,38.0
YR,T,Y46,PT,2019,37.1
YR,T,Y47,PT,2019,36.2
YR,T,Y48,PT,2019,35.3
YR,T,Y49,PT,2019,34.3
YR,T,Y5,PT,2019,77.2
YR,T,Y50,PT,2019,33.4
YR,T,Y51,PT,2019,32.5
YR,T,Y52,PT,2019,31.6
YR,T,Y53,PT,2019,30.7
YR,T,Y54,PT,2019,29.8
YR,T,Y55,PT,2019,29.0
YR,T,Y56,PT,2019,28.1
YR,T,Y57,PT,2019,27.2
YR,T,Y58,PT,2019,26.4
YR,T,Y59,PT,2019,25.5
YR,T,Y6,PT,2019,76.2
YR,T,Y60,PT,2019,24.7
YR,T,Y61,PT,2019,23.8
YR,T,Y62,PT,2019,23.0
YR,T,Y63,PT,2019,22.2
YR,T,Y64,PT,2019,21.4
YR,T,Y65,PT,2019,20.6
YR,T,Y66,PT,2019,19.8
YR,T,Y67,PT,2019,19.0
YR,T,Y68,PT,2019,18.2
YR,T,Y69,PT,2019,17.4
YR,T,Y7,PT,2019,75.2
YR,T,Y70,PT,2019,16.6
YR,T,Y71,PT,2019,15.8
YR,T,Y72,PT,2019,15.1
YR,T,Y73,PT,2019,14.3
YR,T,Y74,PT,2019,13.6
YR,T,Y75,PT,2019,12.9
YR,T,Y76,PT,2019,12.1
YR,T,Y77,PT,2019,11.5
YR,T,Y78,PT,2019,10.8
YR,T,Y79,PT,2019,10.1
YR,T,Y8,PT,2019,74.2
YR,T,Y80,PT,2019,9.5
YR,T,Y81,PT,2019,8.9
YR,T,Y82,PT,2019,8.3
YR,T,Y83,PT,2019,7.7
YR,T,Y84,PT,2019,7.2
YR,T,Y9,PT,2019,73.2
YR,T,Y_GE85,PT,2019,6.7
YR,T,Y_LT1,PT,2019,81.9
YR,F,Y1,PT,2018,83.7
YR,F,Y10,PT,2018,74.8
YR,F,Y11,PT,2018,73.9
YR,F,Y12,PT,2018,72.9
YR,F,Y13,PT,2018,71.9
YR,F,Y14,PT,2018,70.9
YR,F,Y15,PT,2018,69.9
YR,F,Y16,PT,2018,68.9
YR,F,Y17,PT,2018,67.9
YR,F,Y18,PT,2018,66.9
YR,F,Y19,PT,2018,65.9
YR,F,Y2,PT,2018,82.8
YR,F,Y20,PT,2018,64.9
YR,F,Y21,PT,2018,63.9
YR,F,Y22,PT,2018,62.9
YR,F,Y23,PT,2018,62.0
YR,F,Y24,PT,2018,61.0
YR,F,Y25,PT,2018,60.0
YR,F,Y26,PT,2018,59.0
YR,F,Y27,PT,2018,58.0
YR,F,Y28,PT,2018,57.0
YR,F,Y29,PT,2018,56.1
YR,F,Y3,PT,2018,81.8
YR,F,Y30,PT,2018,55.1
YR,F,Y31,PT,2018,54.1
YR,F,Y32,PT,2018,53.1
YR,F,Y33,PT,2018,52.1
YR,F,Y34,PT,2018,51.1
YR,F,Y35,PT,2018,50.2
YR,F,Y36,PT,2018,49.2
YR,F,Y37,PT,2018,48.2
YR,F,Y38,PT,2018,47.2
YR,F,Y39,PT,2018,46.3
YR,F,Y4,PT,2018,80.8
YR,F,Y40,PT,2018,45.3
YR,F,Y41,PT,2018,44.3
YR,F,Y42,PT,2018,43.3
YR,F,Y43,PT,2018,42.4
YR,F,Y44,PT,2018,41.4
YR,F,Y45,PT,2018,40.5
YR,F,Y46,PT,2018,39.5
YR,F,Y47,PT,2018,38.6
YR,F,Y48,PT,2018,37.6
YR,F,Y49,PT,2018,36.7
YR,F,Y5,PT,2018,79.8
YR,F,Y50,PT,2018,35.7
YR,F,Y51,PT,2018,34.8
YR,F,Y52,PT,2018,33.9
YR,F,Y53,PT,2018,32.9
YR,F,Y54,PT,2018,32.0
YR,F,Y55,PT,2018,31.1
YR,F,Y56,PT,2018,30.2
YR,F,Y57,PT,2018,29.2
YR,F,Y58,PT,2018,28.3
YR,F,Y59,PT,2018,27.4
YR,F,Y6,PT,2018,78.8
YR,F,Y60,PT,2018,26.5
YR,F,Y61,PT,2018,25.6
YR,F,Y62,PT,2018,24.7
YR,F,Y63,PT,2018,23.8
YR,F,Y64,PT,2018,22.9
YR,F,Y65,PT,2018,22.0
YR,F,Y66,PT,2018,21.2
YR,F,Y67,PT,2018,20.3
YR,F,Y68,PT,2018,19.4
YR,F,Y69,PT,2018,18.6
YR,F,Y7,PT,2018,77.8
YR,F,Y70,PT,2018,17.7
YR,F,Y71,PT,2018,16.9
YR,F,Y72,PT,2018,16.0
YR,F,Y73,PT,2018,15.2
YR,F,Y74,PT,2018,14.4
YR,F,Y75,PT,2018,13.6
YR,F,Y76,PT,2018,12.9
YR,F,Y77,PT,2018,12.1
YR,F,Y78,PT,2018,11.4
YR,F,Y79,PT,2018,10.7
YR,F,Y8,PT,2018,76.8
YR,F,Y80,PT,2018,10.0
YR,F,Y81,PT,2018,9.3
YR,F,Y82,PT,2018,8.7
YR,F,Y83,PT,2018,8.1
YR,F,Y84,PT,2018,7.5
YR,F,Y9,PT,2018,75.8
YR,F,Y_GE85,PT,2018,7.0
YR,F,Y_LT1,PT,2018,84.5
YR,M,Y1,PT,2018,77.6
YR,M,Y10,PT,2018,68.7
YR,M,Y11,PT,2018,67.7
YR,M,Y12,PT,2018,66.7
YR,M,Y13,PT,2018,65.7
YR,M,Y14,PT,2018,64.7
YR,M,Y15,PT,2018,63.7
YR,M,Y16,PT,2018,62.7
YR,M,Y17,PT,2018,61.7
YR,M,Y18,PT,2018,60.8
YR,M,Y19,PT,2018,59.8
YR,M,Y2,PT,2018,76.6
YR,M,Y20,PT,2018,58.8
YR,M,Y21,PT,2018,57.8
YR,M,Y22,PT,2018,56.9
YR,M,Y23,PT,2018,55.9
YR,M,Y24,PT,2018,54.9
YR,M,Y25,PT,2018,53.9
YR,M,Y26,PT,2018,53.0
YR,M,Y27,PT,2018,52.0
YR,M,Y28,PT,2018,51.0
YR,M,Y29,PT,2018,50.0
YR,M,Y3,PT,2018,75.6
YR,M,Y30,PT,2018,49.1
YR,M,Y31,PT,2018,48.1
YR,M,Y32,PT,2018,47.1
YR,M,Y33,PT,2018,46.2
YR,M,Y34,PT,2018,45.2
YR,M,Y35,PT,2018,44.2
YR,M,Y36,PT,2018,43.3
YR,M,Y37,PT,2018,42.3
YR,M,Y38,PT,2018,41.4
YR,M,Y39,PT,2018,40.4
YR,M,Y4,PT,2018,74.7
YR,M,Y40,PT,2018,39.4
YR,M,Y41,PT,2018,38.5
YR,M,Y42,PT,2018,37.5
YR,M,Y43,PT,2018,36.6
YR,M,Y44,PT,2018,35.7
YR,M,Y45,PT,2018,34.8
YR,M,Y46,PT,2018,33.9
YR,M,Y47,PT,2018,33.0
YR,M,Y48,PT,2018,32.1
YR,M,Y49,PT,2018,31.2
YR,M,Y5,PT,2018,73.7
YR,M,Y50,PT,2018,30.3
YR,M,Y51,PT,2018,29.4
YR,M,Y52,PT,2018,28.6
YR,M,Y53,PT,2018,27.7
YR,M,Y54,PT,2018,26.9
YR,M,Y55,PT,2018,26.0
YR,M,Y56,PT,2018,25.2
YR,M,Y57,PT,2018,24.4
YR,M,Y58,PT,2018,23.6
YR,M,Y59,PT,2018,22.8
YR,M,Y6,PT,2018,72.7
YR,M,Y60,PT,2018,22.0
YR,M,Y61,PT,2018,21.2
YR,M,Y62,PT,2018,20.4
YR,M,Y63,PT,2018,19.7
YR,M,Y64,PT,2018,18.9
YR,M,Y65,PT,2018,18.2
YR,M,Y66,PT,2018,17.4
YR,M,Y67,PT,2018,16.7
YR,M,Y68,PT,2018,15.9
YR,M,Y69,PT,2018,15.2
YR,M,Y7,PT,2018,71.7
YR,M,Y70,PT,2018,14.5
YR,M,Y71,PT,2018,13.8
YR,M,Y72,PT,2018,13.1
YR,M,Y73,PT,2018,12.4
YR,M,Y74,PT,2018,11.8
YR,M,Y75,PT,2018,11.1
YR,M,Y76,PT,2018,10.5
YR,M,Y77,PT,2018,9.8
YR,M,Y78,PT,2018,9.2
YR,M,Y79,PT,2018,8.6
YR,M,Y8,PT,2018,70.7
YR,M,Y80,PT,2018,8.1
YR,M,Y81,PT,2018,7.5
YR,M,Y82,PT,2018,7.0
YR,M,Y83,PT,2018,6.5
YR,M,Y84,PT,2018,6.1
YR,M,Y9,PT,2018,69.7
YR,M,Y_GE85,PT,2018,5.6
YR,M,Y_LT1,PT,2018,78.3
YR,T,Y1,PT,2018,80.8
YR,T,Y10,PT,2018,71.9
YR,T,Y11,PT,2018,70.9
YR,T,Y12,PT,2018,69.9
YR,T,Y13,PT,2018,68.9
YR,T,Y14,PT,2018,67.9
YR,T,Y15,PT,2018,66.9
YR,T,Y16,PT,2018,65.9
YR,T,Y17,PT,2018,64.9
YR,T,Y18,PT,2018,63.9
YR,T,Y19,PT,2018,63.0
YR,T,Y2,PT,2018,79.8
YR,T,Y20,PT,2018,62.0
YR,T,Y21,PT,2018,61.0
YR,T,Y22,PT,2018,60.0
YR,T,Y23,PT,2018,59.0
YR,T,Y24,PT,2018,58.0
YR,T,Y25,PT,2018,57.1
YR,T,Y26,PT,2018,56.1
YR,T,Y27,PT,2018,55.1
YR,T,Y28,PT,2018,54.1
YR,T,Y29,PT,2018,53.2
YR,T,Y3,PT,2018,78.8
YR,T,Y30,PT,2018,52.2
YR,T,Y31,PT,2018,51.2
YR,T,Y32,PT,2018,50.2
YR,T,Y33,PT,2018,49.3
YR,T,Y34,PT,2018,48.3
YR,T,Y35,PT,2018,47.3
YR,T,Y36,PT,2018,46.3
YR,T,Y37,PT,2018,45.4
YR,T,Y38,PT,2018,44.4
YR,T,Y39,PT,2018,43.4
YR,T,Y4,PT,2018,77.8
YR,T,Y40,PT,2018,42.5
YR,T,Y41,PT,2018,41.5
YR,T,Y42,PT,2018,40.6
YR,T,Y43,PT,2018,39.6
